Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
Releva.ai,https://www.crunchbase.com/organization/releva-ai,2022-03-17,11-50,2020-06-08,day,"Advertising, E-Commerce, Internet, Marketing","Sofia, Grad Sofiya, Bulgaria",Releva provides the global rails for real-time revenue operations and recommits to empathy in automated brand communication.,"62,250",,Active,For Profit,https://releva.ai/,,https://www.facebook.com/relevaai,https://www.linkedin.com/company/releva-ai,,"Releva provides the global rails for real-time revenue operations and recommits to empathy in automated brand communication.  Releva is the only AI-first growth platform that optimizes customer experiences by providing a deeper understanding of the needs of each customer. Releva is a one-stop solution for eCommerce sales and marketing. It combines tools to measure, attribute, experiment, analyze, predict and automate your growth in real-time on a single dashboard.  Releva combines user needs with your sales strategy to optimize for expected, timely, and engaging communication.",,,600000,EUR,665948,Seed,790000,EUR,876833,600000,EUR,665948,Seed,Seed,"Hristo Hristov, Zoran Arsovski, New Vision 3, HR Capital, Petr Baron",,,,"32,801",info@releva.ai,+359878992829
StreamTV Media,https://www.crunchbase.com/organization/own3d,2021-09-15,51-100,2018-03-14,day,"Online Games, Video, Video Streaming","Steyr, Oberosterreich, Austria","StreamTV Media creates innovative products and platforms within the live streaming creator economy (own3d.tv, own3d.pro, streamheroes.gg).","62,317",Less than $1M,Active,For Profit,https://www.stream.tv,https://twitter.com/own3D,,https://www.linkedin.com/company/18550285/,,StreamTV is creating the future of live streaming. #streaming #gaming #esports #digitalcollectibles #nft #streamers #creatoreconomy,,,1000000,EUR,1181950,Angel,1375000,EUR,1642486,1000000,EUR,1181950,Angel,Seed,KaPa Ventures,,,7,"151,443",crunchbase@own3d.tv,
Lawazem | لوازم,https://www.crunchbase.com/organization/lawazem,2022-04-06,11-50,2020-01-01,year,"B2B, E-Commerce, Marketplace, Procurement, Supply Chain Management","Riyadh, Ar Riyad, Saudi Arabia","LAWAZEM the first B2B marketplace for all business operational purchases, whether it is groceries, stationary, cleaning materials, or else.","62,357",,Active,For Profit,https://lawazem.com,https://www.twitter.com/Lawazem,,https://www.linkedin.com/company/lawazemb2b/,,"It is the first B2B marketplace that is especially made to solve that problem. Lawazem consolidates all your operational purchases and spending in one place, whether it is groceries, stationary, cleaning materials, office accessories, or else. We go beyond to make your work environment even better, by providing gift and flower deliveries to your employees and clients, arrange for internal events, and prepare for your guest and internal meetings through our hospitality partners. Finally, we even help in becoming your concierge for your international purchases, online purchases that require Credit Cards, and help you improve your sourcing process. Lawazem is here to help you anytime and every time.",,,1300000,USD,1300000,Seed,1300000,USD,1300000,1300000,USD,1300000,Seed,Seed,"Saudi Venture Capital Company, Merak Capital, Merced Capital",,,1,60,Info@Lawazem.sa,0557001599
MELP,https://www.crunchbase.com/organization/melp-15ec,2021-11-24,11-50,2020-08-01,month,"E-Commerce Platforms, Employee Benefits, Human Resources","Amstelveen, Noord-Holland, The Netherlands",MELP is a web-based HR platform that manages and communicates employee benefits.,"62,602",,Active,For Profit,https://melp.com/,,https://www.facebook.com/freeyourbenefits,https://www.linkedin.com/company/melp-com,,MELP is a web-based HR platform that manages and communicates employee benefits.,,,230000,EUR,257674,Pre-Seed,770000,EUR,908305,230000,EUR,257674,Pre-Seed,Seed,"70Ventures, Jolita Palekaite, Juozas Sargunas, Robertas Saltis, Vidmantas Siugzdinis",,,13,,juozas.sargunas@melp.com,+3-706-161-7470
Deep Neuron Lab,https://www.crunchbase.com/organization/deep-neuron-lab,2021-10-28,11-50,2019-01-01,year,"Artificial Intelligence, Machine Learning, Software","Berlin, Berlin, Germany",Deep Neuron Lab develops AI products to produce financial data that free people from tedious processes.,"62,806",,Active,,https://www.dnl.ai/,https://twitter.com/DeepNeuronLab,https://www.facebook.com/DeepNeuronLab/,https://www.linkedin.com/company/deep-neuron-lab/,,Deep Neuron Lab develops AI products to produce financial data.,,,655000,EUR,765194,Grant,1000000,EUR,1196745,1000000,EUR,1196744,Seed,Seed,"Investitionsbank Berlin, European regional development fund (ERDF), Cannonball Capital",,,6,695,contact@dnlab.de,
Ogre AI,https://www.crunchbase.com/organization/ogre-ai,2022-02-23,11-50,2021-01-01,year,"Artificial Intelligence, Big Data, Cloud Computing, Machine Learning","Bucharest, Bucuresti, Romania",Ogre AI is a data science company specializing in machine learning and artificial intelligence solutions,"62,837",,Active,For Profit,https://www.ogre.ai/,,,,,,,,2000000,EUR,2261100,Seed,2000000,EUR,2261101,2000000,EUR,2261100,Seed,Seed,"MMC Ventures, Early Game Ventures",,,8,154,office@ogre.ai,+40 723 555 555
Freshis,https://www.crunchbase.com/organization/freshis,2021-10-01,11-50,2020-02-01,day,"AgTech, E-Commerce, Farmers Market, Food and Beverage, Food Delivery, Organic Food","Barcelona, Catalonia, Spain","Fresh products from farm to table in 1 hour, taking care of you, our producers and the world","62,875",,Active,For Profit,https://freshis.com,,https://www.facebook.com/freshis.foods,https://www.linkedin.com/company/freshis,,"AgriTech, FoodTech, Q-Commerce, Farm-to-table",,,155000,EUR,179706,Debt Financing,419828,USD,419828,350000,EUR,419828,Seed,Seed,,,,4,51,hello@freshis.com,0034637999399
ClimateTrade,https://www.crunchbase.com/organization/climatetrade,2022-01-24,11-50,2017-07-26,day,"Blockchain, Developer APIs, FinTech, Sustainability, Trading Platform","Valencia, Comunidad Valenciana, Spain",ClimateTrade is a blockchain platform for carbon offsetting. In 2018 launched the first Carbon API in the world,"63,067",$1M to $10M,Active,For Profit,https://climatetrade.com,https://twitter.com/climatetrade,https://www.facebook.com/ClimateTrade-445008769581303,https://www.linkedin.com/company/climatetrade/,,"ClimateTrade is a blockchain-based carbon credits trading platform. Their vision is to be the most disruptive and exponential fintech company in the environmental sector to accelerate the achievement of the Sustainable Development Goals, focusing on the client. They have built an ecosystem where companies and consumers can easily offset their carbon footprint and also access to other climate related products. Their API is the first Carbon API created in the world and allows companies to offer products and services carbon neutral and be certified in blockchain.",,,7000000,EUR,7926451,Seed,10225068,USD,10225068,7000000,EUR,7926451,Seed,Seed,"Wayra, ClearSky, Borderless Capital, Amasia, Plug and Play Tech Center",,,7,"16,256",fran@climatetrade.com,
Social First,https://www.crunchbase.com/organization/social-first,2022-01-26,11-50,2021-01-01,year,"Gaming, MMO Games","Helsinki, Southern Finland, Finland",Social First is a game studio that creates Rich Social Multiplayer and MMO games.,"63,563",,Active,For Profit,https://www.socialfirstgames.com,https://twitter.com/SocialFirst_,https://www.facebook.com/socialfirstgames,https://www.linkedin.com/company/social-first-games,,Social First is a game studio that creates Rich Social Multiplayer and MMO games.,,,2500000,USD,2500000,Pre-Seed,2500000,USD,2500000,2500000,USD,2500000,Pre-Seed,Seed,"Play Ventures, Joakim Achren",,,10,,info@socialfirstgames.com,
Contribee,https://www.crunchbase.com/organization/contribee,2021-08-11,11-50,2020-06-26,day,"Crowdfunding, Music, Non Profit, Sports, Video","Kaunas, Kauno Apskritis, Lithuania","We help creators, artists and organisations to get paid.","63,908",,Active,For Profit,https://contribee.com,,https://www.facebook.com/myContribee/,https://www.linkedin.com/company/contributorbee/,,Monetisation platform for content creators and organisations.,,,175000,EUR,205482,Angel,275000,EUR,327123,175000,EUR,205482,Angel,Seed,"Startup Wise Guys, Koinvesticinis Fondas",,,9,"216,342",hello@contribee.com,+37066244299
Earth Rover,https://www.crunchbase.com/organization/earth-rover,2022-05-09,11-50,2017-08-17,day,"Agriculture, Artificial Intelligence, Farming, Robotics","London, England, United Kingdom","Developing precision farming robots, enabling farmers to bridge the gap between today's farming to the autonomous farm of the future.","63,928",,Active,For Profit,https://www.earthrover.farm/,https://twitter.com/earth_rover,,https://www.linkedin.com/company/earth-rover/,,"Developer of autonomous farming robots designed for precision farming. The company's robots are based on ExoMars Rover space technology, adapted to carry precision tools and integrate with an intelligent data platform, enabling farmers to bridge the gap between today's farming methods and the autonomous farm of the future.",,,175000,GBP,215862,Grant,385687,USD,385687,63343,GBP,79191,Venture - Series Unknown,,"Innovate UK, Par Equity, First Oven Ventures, Pollybell Organic Farm",,,8,,info@earthrover.cc,
WeFish - Fishing Diary and Forecast,https://www.crunchbase.com/organization/wefish-fishing-diary-and-forecast,2021-10-14,11-50,2017-11-09,day,"Big Data, Gamification, Machine Learning, Software, Sports","Barcelona, Catalonia, Spain",Mobile App for recreational anglers,"63,944",,Active,For Profit,https://wefish.app/es/,,https://www.facebook.com/WeFish.DiarioPesca/,https://www.linkedin.com/company/wefish-diario-de-pesca/,,"WeFish – Fishing Diary and Forecast is a young startup founded in Spain at November 2017 who is trying to be a game changer on the recreational fishing sector with its new mobile application. WeFish is a mobile application that serves Anglers to maximize their chances to get great catches. How does it work? Easy, it is a CONFIDENTIAL fishing diary where its users can register their catches with all their relevant information and analyze them with Machine Learning algorithms, plan their fishing trips thanks to WeFish’s weather forecast, buy new equipment within its Marketplace and everything under a gamification process.",,,,,,Venture - Series Unknown,512859,USD,512859,,,,Venture - Series Unknown,,"TheVentureCity, Crowdcube, Desafia, Wannaseed",,,8,"39,948",info@wefish.app,
Welldone,https://www.crunchbase.com/organization/welldone-plant-based-meat,2021-07-15,11-50,2019-07-01,day,"Biotechnology, Food and Beverage","Moscow, Moscow City, Russian Federation",On our mission to change the way you eat. Bringing best plant protein science to create perfect burgers and mice.,"64,162",,Active,For Profit,http://welldone.green,,https://www.facebook.com/Welldone.green,https://www.linkedin.com/company/welldonegreen,,"WE MAKE DELICIOUS, NUTRITIOUS AND AFFORDABLE PLANT-BASED MEAT.  AND WE ARE GOING WELL. Plant-based meat producer leveraging strong R&D and sourcing in Russia. We are building brand #1 in country to cater plant-based meat to 140+ mln people and to expand abroad. Targeting to reach price parity with meat in 2022 to address the wider consumer audience.",,,1500000,USD,1500000,Series A,1500000,USD,1500000,1500000,USD,1500000,Series A,Early Stage Venture,"Lever VC, Phystech Ventures",,,3,,care@welldone.green,
SO’USE,https://www.crunchbase.com/organization/so-use,2021-07-30,11-50,2018-08-01,month,"Advertising, E-Commerce, Software","Leipzig, Sachsen, Germany",SO'USE is empowering F&B brands to sustainably run automated and measurable POS advertising.,"64,241",,Active,For Profit,https://so-use.de/de/,,https://www.facebook.com/souse.germany/,https://www.linkedin.com/company/souse-germany?trk=public_post_share-update_actor-text,,"SO'USE offers a PaaS solution where we partner with restaurants to earn through marketing revenue from the F&B industry. We address 2 groups of customers: restaurateurs and the F&B industry. We distribute our browser-based self-order system to restaurants, through which their guests can order & pay for food & beverages in-house charging restaurants only a cost-covering fixed fee. Our goal is to align our interests with those of the restaurants and to jointly intensify the use of SO'USE among guests.  By gaining traction, we offer a highly attractive media reach at the PoS, targeting F&B brands to run digital marketing campaigns and reach their customer group in the right HORECA venues. We charge for all campaigns via CPM based on impressions.",,,700000,EUR,830705,Seed,700000,EUR,830706,700000,EUR,830705,Seed,Seed,Hanse Ventures,,,2,54,info@so-use.de,+49 341 92881169
JOTELULU,https://www.crunchbase.com/organization/jotelulu,2021-09-07,11-50,2019-11-01,day,"Cloud Computing, IaaS, Information Technology, SaaS, Software, Telecommunications","Madrid, Madrid, Spain",Jotelulu is a cloud platform that transforms small IT companies into cloud service providers.,"64,289",$1M to $10M,Active,For Profit,https://jotelulu.com/,https://twitter.com/jotelulu,,https://www.linkedin.com/company/jotelulu/,,"JOTELULU is an online cloud platform that transforms traditional IT Companies into cloud service providers. Jotelulu offers IT and communication cloud services, system administration tools and many functionalities. All of them focused on solving the daily challenges of small IT Businesses and their customers (SMB and VSB). Very Small Business NEED digitalization, but they are no experts in technology. They generally rely on small IT companies that help them. Why not create a platform that helps traditional IT companies sell and manage cloud services easily?   Founded in 2013 as an IT consulting company, Jotelulu has evolved into an exclusive cloud platform for IT companies. Independent Software Vendors, Software Integrators, Technical Support, IT Procurement Companies… there are many types and Jotelulu has been designed for all of them. Based in Spain, Jotelulu provides services from different datacenters located in Madrid. However, internationalization forecasts suggest a fast infrastructure deployment in different European and LATAM datacenters in the next few years. Jotelulu is growing fast, increasing the number of partners every week. Our dream is to help digitalize as many SMB and VSB as possible in the next few years and we are working hard to make it a reality.",,,1000000,EUR,1184449,Seed,1000000,EUR,1184450,1000000,EUR,1184449,Seed,Seed,"Big Sur Ventures, Bankinter",,,10,"18,448",growth@jotelulu.com,
